,Team,Total Points,Points Per Game,Scoring Margin,FG: Made-Attempted,FG: Percentage,FG: Per Game,3PT: Made-Attempted,3PT: Percentage,3PT: Per Game,FT: Made-Attempted,FT: Percentage,FT: Per Game,Total Rebounds,Rebounds Per Game,Rebound Margin,Total Assists,Assists Per Game,Total Turnovers,Turnovers Per Game,Turnovers Margin,Assist/Turnover Ratio,Points Off Turnovers,Total Steals,Steals Per Game,Total Blocks,Blocks Per Game,Total Attendance,Attendance Per Game,Season
1,Opponents,2008,62.8,--,672-1671,.402,21.0,181-572,.316,5.7,483-710,.680,15.1,1083,33.8,--,407,12.7,552,17.3,--,0.7,0.0,269,8.4,107,3.3,101797,"9-11,311",1998-99
0,Illinois,2424,75.8,10.1,834-1925,.433,26.1,231-652,.354,7.2,525-763,.688,16.4,1177,36.8,0.0,499,15.6,458,14.3,3.9,1.1,0.0,297,9.3,119,3.7,189507,"13-14,577",1999-00
1,Opponents,2100,65.6,--,720-1782,.404,22.5,181-587,.308,5.7,479-699,.685,15.0,1176,36.8,--,405,12.7,583,18.2,--,0.7,0.0,197,6.2,99,3.1,105011,"9-11,668",1999-00
0,Illinois,2725,77.9,11.9,929-2045,.454,26.5,247-678,.364,7.1,620-880,.705,17.7,1399,40.0,7.0,550,15.7,524,15.0,1.0,1.0,0.0,269,7.7,146,4.2,185630,"12-15,469",2000-01
1,Opponents,2307,65.9,--,748-1936,.386,21.4,219-674,.325,6.3,592-860,.688,16.9,1154,33.0,--,400,11.4,560,16.0,--,0.7,0.0,214,6.1,119,3.4,127105,"10-12,711",2000-01
0,Illinois,2708,77.4,9.7,908-1932,.470,25.9,254-692,.367,7.3,638-862,.740,18.2,1266,36.2,4.2,590,16.9,512,14.6,0.8,1.2,0.0,258,7.4,141,4.0,226480,"14-16,177",2001-02
1,Opponents,2369,67.7,--,815-1960,.416,23.3,235-691,.340,6.7,504-760,.663,14.4,1120,32.0,--,449,12.8,540,15.4,--,0.8,0.0,195,5.6,101,2.9,139442,"10-13,944",2001-02
0,Illinois,2388,74.6,13.1,859-1793,.479,26.8,233-636,.366,7.3,437-603,.725,13.7,1133,35.4,2.8,575,18.0,418,13.1,1.6,1.4,0.0,227,7.1,100,3.1,212303,"14-15,165",2002-03
1,Opponents,1970,61.6,--,657-1741,.377,20.5,192-621,.309,6.0,464-655,.708,14.5,1042,32.6,--,353,11.0,470,14.7,--,0.8,0.0,182,5.7,84,2.6,134186,"9-14,910",2002-03
0,Illinois,2402,72.8,9.8,887-1899,.467,26.9,231-662,.349,7.0,397-571,.695,12.0,1150,34.8,2.6,565,17.1,401,12.2,2.2,1.4,13.8,224,6.8,122,3.7,208935,"13-16,072",2003-04
1,Opponents,2077,62.9,--,733-1750,.419,22.2,183-540,.339,5.5,428-627,.683,13.0,1064,32.2,--,405,12.3,474,14.4,--,0.9,7.6,197,6.0,112,3.4,116849,"9-12,983",2003-04
0,Illinois,3002,77.0,15.9,1092-2258,.484,28.0,344-877,.392,8.8,474-651,.728,12.2,1338,34.3,3.0,727,18.6,428,11.0,3.9,1.7,15.4,300,7.7,123,3.2,245807,"15-16,387",2004-05
1,Opponents,2382,61.1,--,869-2094,.415,22.3,233-651,.358,6.0,411-618,.665,10.5,1222,31.3,--,482,12.4,580,14.9,--,0.8,8.7,196,5.0,99,2.5,125959,"9-13,995",2004-05
